epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,1053.07,0.41213,0.2302,0.8662,0.99969,1,0.995,0.94142,0.36222,0.18439,0.84026,0.0011456,0.0011456,0.0011456
59,1071.03,0.39947,0.21786,0.86907,0.99922,1,0.995,0.93522,0.36733,0.17869,0.85079,0.00112946,0.00112946,0.00112946
60,1088.9,0.38859,0.22171,0.85364,0.9985,1,0.995,0.88598,0.55244,0.21274,0.92132,0.0011132,0.0011132,0.0011132
61,1106.7,0.37763,0.21574,0.85608,0.9996,1,0.995,0.93747,0.39281,0.18992,0.85033,0.00109683,0.00109683,0.00109683
62,1124.43,0.38638,0.21996,0.85612,0.99952,1,0.995,0.92165,0.43451,0.20212,0.86343,0.00108033,0.00108033,0.00108033
63,1142.41,0.37384,0.20974,0.85005,0.99911,1,0.995,0.93073,0.38918,0.19958,0.85209,0.00106374,0.00106374,0.00106374
64,1160.15,0.37959,0.21525,0.85267,0.99919,1,0.995,0.93318,0.38067,0.19371,0.84507,0.00104705,0.00104705,0.00104705
65,1178.47,0.37289,0.21204,0.85462,0.99962,1,0.995,0.92175,0.45088,0.20378,0.88495,0.00103026,0.00103026,0.00103026
66,1196.13,0.36442,0.20777,0.84811,0.99927,1,0.995,0.91772,0.42484,0.19261,0.86149,0.0010134,0.0010134,0.0010134
67,1213.93,0.36995,0.20552,0.84474,0.9997,1,0.995,0.93276,0.38846,0.18734,0.85388,0.000996456,0.000996456,0.000996456
68,1231.79,0.37297,0.20931,0.8514,0.99934,1,0.995,0.93995,0.35602,0.17761,0.83968,0.000979447,0.000979447,0.000979447
69,1249.44,0.38067,0.21027,0.85522,0.99957,1,0.995,0.90448,0.46891,0.19731,0.88155,0.000962378,0.000962378,0.000962378
70,1267.26,0.35499,0.19646,0.84284,0.99914,1,0.995,0.92642,0.41664,0.19008,0.85592,0.000945256,0.000945256,0.000945256
71,1285.34,0.35653,0.19649,0.84901,0.9986,1,0.995,0.95109,0.32797,0.16795,0.82794,0.000928088,0.000928088,0.000928088
72,1303.29,0.36356,0.19828,0.86044,0.99884,1,0.995,0.92839,0.37988,0.19577,0.86062,0.000910883,0.000910883,0.000910883
73,1321.17,0.3705,0.20605,0.85031,0.99912,1,0.995,0.92802,0.39625,0.19582,0.85617,0.000893648,0.000893648,0.000893648
74,1338.98,0.35946,0.19936,0.84354,0.99921,1,0.995,0.89891,0.52568,0.21276,0.9078,0.000876389,0.000876389,0.000876389
75,1356.75,0.36609,0.20024,0.85057,0.9993,1,0.995,0.92405,0.41101,0.18156,0.8574,0.000859116,0.000859116,0.000859116
76,1374.65,0.34518,0.19154,0.84406,0.99964,1,0.995,0.9012,0.49681,0.20195,0.88796,0.000841835,0.000841835,0.000841835
77,1392.35,0.35851,0.20214,0.84631,0.99927,1,0.995,0.90504,0.44162,0.19008,0.8813,0.000824554,0.000824554,0.000824554
78,1410.43,0.36136,0.19715,0.84458,0.99917,1,0.995,0.95084,0.34996,0.17755,0.83644,0.000807281,0.000807281,0.000807281
79,1428.18,0.34224,0.19313,0.8391,0.99966,1,0.995,0.93133,0.38922,0.1817,0.85069,0.000790022,0.000790022,0.000790022
80,1445.92,0.34879,0.19016,0.85104,0.99923,1,0.995,0.86953,0.57835,0.21541,0.93342,0.000772787,0.000772787,0.000772787
81,1463.64,0.35263,0.19094,0.84724,0.99922,1,0.995,0.91034,0.46458,0.19057,0.88849,0.000755582,0.000755582,0.000755582
